,date,store_nbr,transactions
34046,2015-01-01,25,2202
34047,2015-01-02,1,1021
34048,2015-01-02,2,1859
34049,2015-01-02,3,3429
34050,2015-01-02,4,1521
34051,2015-01-02,5,1772
34052,2015-01-02,6,2061
34053,2015-01-02,7,1480
34054,2015-01-02,8,2638
34055,2015-01-02,9,2403
34056,2015-01-02,10,1146
34057,2015-01-02,11,2988
34058,2015-01-02,12,1364
34059,2015-01-02,13,1149
34060,2015-01-02,14,1541
34061,2015-01-02,15,1380
34062,2015-01-02,16,1102
34063,2015-01-02,17,1491
34064,2015-01-02,18,984
34065,2015-01-02,19,1622
34066,2015-01-02,23,1133
34067,2015-01-02,24,1898
34068,2015-01-02,25,3114
34069,2015-01-02,26,759
34070,2015-01-02,27,1806
34071,2015-01-02,28,1224
34072,2015-01-02,30,618
34073,2015-01-02,31,1759
34074,2015-01-02,32,690
34075,2015-01-02,33,1138
34076,2015-01-02,34,2708
34077,2015-01-02,35,1138
34078,2015-01-02,36,1554
34079,2015-01-02,37,1744
34080,2015-01-02,38,2331
34081,2015-01-02,39,1600
34082,2015-01-02,40,1278
34083,2015-01-02,41,1287
34084,2015-01-02,43,1642
34085,2015-01-02,44,4621
34086,2015-01-02,45,4950
34087,2015-01-02,46,5317
34088,2015-01-02,47,4937
34089,2015-01-02,48,4474
34090,2015-01-02,49,3097
34091,2015-01-02,50,3445
34092,2015-01-02,51,1492
34093,2015-01-02,53,982
34094,2015-01-02,54,1122
34095,2015-01-03,1,1015
34096,2015-01-03,2,1833
34097,2015-01-03,3,3364
34098,2015-01-03,4,1583
34099,2015-01-03,5,1642
34100,2015-01-03,6,2051
34101,2015-01-03,7,1619
34102,2015-01-03,8,2570
34103,2015-01-03,9,2378
34104,2015-01-03,10,1254
34105,2015-01-03,11,3021
34106,2015-01-03,12,1311
34107,2015-01-03,13,1342
34108,2015-01-03,14,1832
34109,2015-01-03,15,1420
34110,2015-01-03,16,1083
34111,2015-01-03,17,1462
34112,2015-01-03,18,1046
34113,2015-01-03,19,2217
34114,2015-01-03,23,1126
34115,2015-01-03,24,2087
34116,2015-01-03,25,2495
34117,2015-01-03,26,645
34118,2015-01-03,27,1794
34119,2015-01-03,28,1245
34120,2015-01-03,30,559
34121,2015-01-03,31,1728
34122,2015-01-03,32,663
34123,2015-01-03,33,1276
34124,2015-01-03,34,2503
34125,2015-01-03,35,1006
34126,2015-01-03,36,1488
34127,2015-01-03,37,1619
34128,2015-01-03,38,2394
34129,2015-01-03,39,1577
34130,2015-01-03,40,1475
34131,2015-01-03,41,1320
34132,2015-01-03,43,1591
34133,2015-01-03,44,4364
34134,2015-01-03,45,4767
34135,2015-01-03,46,5098
34136,2015-01-03,47,4950
34137,2015-01-03,48,4306
34138,2015-01-03,49,3118
34139,2015-01-03,50,3534
34140,2015-01-03,51,1585
34141,2015-01-03,53,1003
34142,2015-01-03,54,929
34143,2015-01-04,1,484
34144,2015-01-04,2,1984
34145,2015-01-04,3,3489
34146,2015-01-04,4,1850
34147,2015-01-04,5,1638
34148,2015-01-04,6,2277
34149,2015-01-04,7,1626
34150,2015-01-04,8,2759
34151,2015-01-04,9,2481
34152,2015-01-04,10,1114
34153,2015-01-04,11,2940
34154,2015-01-04,12,1346
34155,2015-01-04,13,955
34156,2015-01-04,14,1178
34157,2015-01-04,15,1118
34158,2015-01-04,16,1179
34159,2015-01-04,17,1490
34160,2015-01-04,18,1294
34161,2015-01-04,19,1348
34162,2015-01-04,23,1016
34163,2015-01-04,24,1876
34164,2015-01-04,25,999
34165,2015-01-04,26,799
34166,2015-01-04,27,2012
34167,2015-01-04,28,1530
34168,2015-01-04,30,643
34169,2015-01-04,31,1809
34170,2015-01-04,32,627
34171,2015-01-04,33,1205
34172,2015-01-04,34,2290
34173,2015-01-04,35,763
34174,2015-01-04,36,1276
34175,2015-01-04,37,1396
34176,2015-01-04,38,2557
34177,2015-01-04,39,1653
34178,2015-01-04,40,1199
34179,2015-01-04,41,1307
34180,2015-01-04,43,1554
34181,2015-01-04,44,5061
34182,2015-01-04,45,4817
34183,2015-01-04,46,5084
34184,2015-01-04,47,5083
34185,2015-01-04,48,4636
34186,2015-01-04,49,3328
34187,2015-01-04,50,3325
34188,2015-01-04,51,1938
34189,2015-01-04,53,954
34190,2015-01-04,54,1209
34191,2015-01-05,1,1956
34192,2015-01-05,2,2068
34193,2015-01-05,3,3332
34194,2015-01-05,4,1516
34195,2015-01-05,5,1811
34196,2015-01-05,6,1897
34197,2015-01-05,7,1943
34198,2015-01-05,8,3106
34199,2015-01-05,9,2266
34200,2015-01-05,10,1123
34201,2015-01-05,11,2439
34202,2015-01-05,12,1280
34203,2015-01-05,13,937
34204,2015-01-05,14,1691
34205,2015-01-05,15,1515
34206,2015-01-05,16,996
34207,2015-01-05,17,1377
34208,2015-01-05,18,1588
34209,2015-01-05,19,1407
34210,2015-01-05,23,1091
34211,2015-01-05,24,2732
34212,2015-01-05,25,981
34213,2015-01-05,26,672
34214,2015-01-05,27,1481
34215,2015-01-05,28,1168
34216,2015-01-05,30,703
34217,2015-01-05,31,1501
34218,2015-01-05,32,562
34219,2015-01-05,33,1155
34220,2015-01-05,34,2499
34221,2015-01-05,35,670
34222,2015-01-05,36,1170
34223,2015-01-05,37,1777
34224,2015-01-05,38,1792
34225,2015-01-05,39,1440
34226,2015-01-05,40,1637
34227,2015-01-05,41,1091
34228,2015-01-05,43,1471
34229,2015-01-05,44,4475
34230,2015-01-05,45,4053
34231,2015-01-05,46,3674
34232,2015-01-05,47,4310
34233,2015-01-05,48,3251
34234,2015-01-05,49,2963
34235,2015-01-05,50,2688
34236,2015-01-05,51,1972
34237,2015-01-05,53,775
34238,2015-01-05,54,878
34239,2015-01-06,1,1890
34240,2015-01-06,2,1982
34241,2015-01-06,3,3088
34242,2015-01-06,4,1500
34243,2015-01-06,5,1621
34244,2015-01-06,6,1773
34245,2015-01-06,7,1837
34246,2015-01-06,8,2881
34247,2015-01-06,9,2233
34248,2015-01-06,10,1168
34249,2015-01-06,11,2496
34250,2015-01-06,12,1194
34251,2015-01-06,13,942
34252,2015-01-06,14,1375
34253,2015-01-06,15,1528
34254,2015-01-06,16,996
34255,2015-01-06,17,1339
34256,2015-01-06,18,1502
34257,2015-01-06,19,1326
34258,2015-01-06,23,1131
34259,2015-01-06,24,2664
34260,2015-01-06,25,827
34261,2015-01-06,26,543
34262,2015-01-06,27,1276
34263,2015-01-06,28,1114
34264,2015-01-06,30,827
34265,2015-01-06,31,1503
34266,2015-01-06,32,623
34267,2015-01-06,33,1168
34268,2015-01-06,34,2196
34269,2015-01-06,35,712
34270,2015-01-06,36,1273
34271,2015-01-06,37,1575
34272,2015-01-06,38,1580
34273,2015-01-06,39,1313
34274,2015-01-06,40,1555
34275,2015-01-06,41,963
34276,2015-01-06,43,1450
34277,2015-01-06,44,3912
34278,2015-01-06,45,3476
34279,2015-01-06,46,3336
34280,2015-01-06,47,3772
34281,2015-01-06,48,2919
34282,2015-01-06,49,2684
34283,2015-01-06,50,2266
