,date,store_nbr,transactions
71391,2017-01-01,25,1642
71392,2017-01-02,1,516
71393,2017-01-02,2,2083
71394,2017-01-02,3,3918
71395,2017-01-02,4,1682
71396,2017-01-02,5,1293
71397,2017-01-02,6,2268
71398,2017-01-02,7,1681
71399,2017-01-02,8,2995
71400,2017-01-02,9,2646
71401,2017-01-02,10,1039
71402,2017-01-02,11,3094
71403,2017-01-02,12,1314
71404,2017-01-02,13,1120
71405,2017-01-02,14,1402
71406,2017-01-02,15,1336
71407,2017-01-02,16,864
71408,2017-01-02,17,2170
71409,2017-01-02,18,1364
71410,2017-01-02,19,1400
71411,2017-01-02,20,2316
71412,2017-01-02,21,1804
71413,2017-01-02,22,941
71414,2017-01-02,23,1003
71415,2017-01-02,24,1808
71416,2017-01-02,25,1519
71417,2017-01-02,26,600
71418,2017-01-02,27,2040
71419,2017-01-02,28,1573
71420,2017-01-02,29,1314
71421,2017-01-02,30,595
71422,2017-01-02,31,1834
71423,2017-01-02,32,627
71424,2017-01-02,33,984
71425,2017-01-02,34,2497
71426,2017-01-02,35,862
71427,2017-01-02,36,1315
71428,2017-01-02,37,1437
71429,2017-01-02,38,2250
71430,2017-01-02,39,1788
71431,2017-01-02,40,1312
71432,2017-01-02,41,1420
71433,2017-01-02,42,1503
71434,2017-01-02,43,1928
71435,2017-01-02,44,5701
71436,2017-01-02,45,5218
71437,2017-01-02,46,5537
71438,2017-01-02,47,5156
71439,2017-01-02,48,4836
71440,2017-01-02,49,4014
71441,2017-01-02,50,3835
71442,2017-01-02,51,1606
71443,2017-01-02,53,1345
71444,2017-01-02,54,1015
71445,2017-01-03,1,1946
71446,2017-01-03,2,1922
71447,2017-01-03,3,3406
71448,2017-01-03,4,1560
71449,2017-01-03,5,1410
71450,2017-01-03,6,1939
71451,2017-01-03,7,1894
71452,2017-01-03,8,3026
71453,2017-01-03,9,2443
71454,2017-01-03,10,1106
71455,2017-01-03,11,2656
71456,2017-01-03,12,1270
71457,2017-01-03,13,939
71458,2017-01-03,14,1533
71459,2017-01-03,15,1479
71460,2017-01-03,16,811
71461,2017-01-03,17,1760
71462,2017-01-03,18,1489
71463,2017-01-03,19,1326
71464,2017-01-03,20,1735
71465,2017-01-03,21,1320
71466,2017-01-03,22,951
71467,2017-01-03,23,1114
71468,2017-01-03,24,2244
71469,2017-01-03,25,1006
71470,2017-01-03,26,620
71471,2017-01-03,27,1673
71472,2017-01-03,28,1409
71473,2017-01-03,29,1353
71474,2017-01-03,30,806
71475,2017-01-03,31,1587
71476,2017-01-03,32,591
71477,2017-01-03,33,1111
71478,2017-01-03,34,2672
71479,2017-01-03,35,844
71480,2017-01-03,36,1348
71481,2017-01-03,37,1657
71482,2017-01-03,38,1734
71483,2017-01-03,39,1638
71484,2017-01-03,40,1725
71485,2017-01-03,41,1236
71486,2017-01-03,42,1264
71487,2017-01-03,43,1800
71488,2017-01-03,44,4639
71489,2017-01-03,45,4129
71490,2017-01-03,46,3720
71491,2017-01-03,47,4346
71492,2017-01-03,48,3110
71493,2017-01-03,49,3286
71494,2017-01-03,50,2725
71495,2017-01-03,51,1762
71496,2017-01-03,53,1157
71497,2017-01-03,54,958
71498,2017-01-04,1,1905
71499,2017-01-04,2,2007
71500,2017-01-04,3,3382
71501,2017-01-04,4,1551
71502,2017-01-04,5,1379
71503,2017-01-04,6,1840
71504,2017-01-04,7,1951
71505,2017-01-04,8,3034
71506,2017-01-04,9,2142
71507,2017-01-04,10,834
71508,2017-01-04,11,2505
71509,2017-01-04,12,1254
