,date,store_nbr,transactions
52392,2016-01-02,2,6
52393,2016-01-02,16,373
52394,2016-01-02,20,1816
52395,2016-01-02,21,1388
52396,2016-01-02,22,849
52397,2016-01-02,23,1092
52398,2016-01-02,24,1901
52399,2016-01-02,25,2582
52400,2016-01-02,26,654
52401,2016-01-02,27,1651
52402,2016-01-02,28,1265
52403,2016-01-02,29,1010
52404,2016-01-02,30,596
52405,2016-01-02,31,1859
52406,2016-01-02,32,663
52407,2016-01-02,33,1156
52408,2016-01-02,34,2364
52409,2016-01-02,35,1065
52410,2016-01-02,36,1576
52411,2016-01-02,37,1536
52412,2016-01-02,38,2358
52413,2016-01-02,39,1734
52414,2016-01-02,40,1323
52415,2016-01-02,41,1347
52416,2016-01-02,42,1351
52417,2016-01-02,43,1340
52418,2016-01-02,44,4539
52419,2016-01-02,45,4840
52420,2016-01-02,46,5256
52421,2016-01-02,47,4967
52422,2016-01-02,48,4574
52423,2016-01-02,49,3375
52424,2016-01-02,50,3669
52425,2016-01-02,51,1450
52426,2016-01-02,53,1099
52427,2016-01-02,54,1004
52428,2016-01-04,1,10
52429,2016-01-04,5,1485
52430,2016-01-04,23,1119
52431,2016-01-04,24,2491
52432,2016-01-04,25,938
52433,2016-01-04,26,660
52434,2016-01-04,30,599
52435,2016-01-04,31,1510
52436,2016-01-04,32,605
52437,2016-01-04,33,1122
52438,2016-01-04,34,2359
52439,2016-01-04,37,1655
52440,2016-01-04,38,1736
52441,2016-01-04,39,1540
52442,2016-01-05,1,1840
52443,2016-01-05,2,1903
52444,2016-01-05,3,3057
52445,2016-01-05,4,1464
52446,2016-01-05,5,1379
52447,2016-01-05,6,1824
52448,2016-01-05,7,1827
52449,2016-01-05,8,2838
52450,2016-01-05,9,2193
52451,2016-01-05,10,977
52452,2016-01-05,11,2395
52453,2016-01-05,12,1274
52454,2016-01-05,13,913
52455,2016-01-05,14,1516
52456,2016-01-05,15,1514
52457,2016-01-05,16,855
52458,2016-01-05,17,1414
52459,2016-01-05,18,1378
52460,2016-01-05,19,1230
52461,2016-01-05,20,1333
52462,2016-01-05,21,1146
52463,2016-01-05,22,678
52464,2016-01-05,23,1095
52465,2016-01-05,24,2486
52466,2016-01-05,25,792
52467,2016-01-05,26,579
52468,2016-01-05,27,1558
52469,2016-01-05,28,1365
52470,2016-01-05,29,1114
52471,2016-01-05,30,815
52472,2016-01-05,31,1511
52473,2016-01-05,32,619
52474,2016-01-05,33,1123
52475,2016-01-05,34,2231
52476,2016-01-05,35,728
52477,2016-01-05,36,1337
52478,2016-01-05,37,1508
52479,2016-01-05,38,1531
52480,2016-01-05,39,1431
52481,2016-01-05,40,1527
52482,2016-01-05,41,1113
52483,2016-01-05,42,955
52484,2016-01-05,43,1319
52485,2016-01-05,44,4113
52486,2016-01-05,45,3698
52487,2016-01-05,46,3402
52488,2016-01-05,47,4063
52489,2016-01-05,48,2934
52490,2016-01-05,49,2967
52491,2016-01-05,50,2528
52492,2016-01-05,51,1887
52493,2016-01-05,53,875
52494,2016-01-05,54,866
52495,2016-01-06,1,1996
52496,2016-01-06,2,2058
52497,2016-01-06,3,3398
52498,2016-01-06,4,1613
52499,2016-01-06,5,1482
52500,2016-01-06,6,1880
52501,2016-01-06,7,1915
52502,2016-01-06,8,3102
52503,2016-01-06,9,2037
52504,2016-01-06,10,889
52505,2016-01-06,11,2251
52506,2016-01-06,12,1257
52507,2016-01-06,13,868
52508,2016-01-06,14,1245
52509,2016-01-06,15,1449
52510,2016-01-06,16,776
52511,2016-01-06,17,1308
52512,2016-01-06,18,1283
52513,2016-01-06,19,1102
52514,2016-01-06,20,1312
52515,2016-01-06,21,1018
52516,2016-01-06,22,631
52517,2016-01-06,23,1101
52518,2016-01-06,24,2728
52519,2016-01-06,25,917
52520,2016-01-06,26,636
52521,2016-01-06,27,1578
52522,2016-01-06,28,1127
52523,2016-01-06,29,1086
52524,2016-01-06,30,763
52525,2016-01-06,31,1411
52526,2016-01-06,32,637
52527,2016-01-06,33,1019
52528,2016-01-06,34,2022
52529,2016-01-06,35,635
52530,2016-01-06,36,1194
52531,2016-01-06,37,1623
52532,2016-01-06,38,1698
52533,2016-01-06,39,1191
52534,2016-01-06,40,1382
52535,2016-01-06,41,1136
52536,2016-01-06,42,942
52537,2016-01-06,43,1297
52538,2016-01-06,44,4661
